#ID B V RA DEC
272     18.866  18.163 00:24:37.59 +85:17:54.70
273     20.935  19.527 00:25:31.33 +85:06:44.20
274     20.549  19.994 00:25:05.54 +85:12:32.30
275     22.245  21.255 00:23:40.12 +85:29:49.50
276     18.033  17.361 00:25:15.67 +85:10:33.80
277     19.208  18.546 00:23:42.92 +85:29:26.90
278     99.999  21.110 00:24:51.62 +85:15:46.80
279     20.325  19.413 00:25:21.32 +85:09:31.10
280     21.307  20.126 00:25:46.37 +85:03:58.10
281     20.318  19.156 00:25:21.10 +85:09:40.60
282     21.265  19.843 00:25:56.78 +85:01:42.50
283     19.064  18.064 00:25:40.06 +85:05:35.80
284     21.789  20.328 00:25:34.83 +85:06:55.60
285     19.306  18.294 00:24:15.73 +85:23:43.70
287     18.061  17.014 00:24:38.21 +85:19:32.10
288     20.979  19.749 00:24:34.76 +85:20:32.60
289     19.717  18.441 00:26:04.27 +85:01:09.90
291     21.812  20.391 00:25:31.62 +85:08:52.20
292     21.437  20.086 00:25:34.71 +85:08:11.30
293     17.573  16.934 00:24:50.00 +85:17:50.50
294     21.045  20.523 00:24:02.48 +85:27:41.10
295     17.290  16.532 00:23:40.76 +85:31:50.20
296     20.617  19.447 00:25:33.18 +85:09:07.30
297     21.109  19.677 00:23:52.42 +85:29:58.10
299     19.111  18.380 00:23:49.60 +85:30:33.50
300     20.803  20.108 00:23:45.71 +85:31:20.70
302     17.436  16.700 00:26:10.86 +85:00:53.60
303     18.887  17.654 00:23:39.81 +85:32:32.30
304     17.648  16.728 00:24:25.24 +85:23:45.50
305     18.748  17.951 00:25:29.78 +85:10:14.70
306     16.682  15.993 00:25:21.76 +85:12:01.10
307     20.221  18.880 00:25:32.30 +85:09:46.30
311     18.530  17.551 00:23:53.52 +85:30:10.60
312     20.323  18.902 00:26:03.91 +85:03:02.10
314     17.781  17.192 00:25:27.85 +85:11:17.40
315     15.660  15.062 00:25:14.69 +85:14:09.00
316     18.604  17.760 00:23:51.09 +85:31:11.60
317     19.724  18.617 00:25:16.15 +85:14:10.70
319     19.288  18.348 00:26:13.14 +85:01:30.50
320     20.501  19.149 00:24:29.45 +85:23:58.30
321     20.784  19.172 00:24:03.57 +85:29:10.50
322     20.091  19.471 00:25:52.51 +85:06:26.90
323     17.651  16.748 00:24:43.96 +85:21:16.00
324     21.682  21.005 00:25:55.86 +85:05:49.60
325     19.577  18.707 00:25:59.26 +85:05:06.60
326     99.999  20.022 00:26:00.11 +85:05:05.20
327     17.627  16.661 00:25:14.75 +85:15:09.70
329     19.320  18.591 00:24:56.13 +85:19:11.90
330     18.094  16.946 00:24:03.62 +85:29:43.90
331     17.140  16.332 00:26:09.85 +85:03:04.50
332     19.181  18.334 00:25:22.60 +85:13:41.60
333     20.567  19.724 00:23:55.41 +85:31:23.50
334     19.095  18.093 00:24:32.71 +85:24:09.70
335     20.776  20.247 00:26:00.31 +85:05:38.40
336     19.750  18.861 00:25:04.20 +85:17:57.90
338     21.478  20.432 00:25:03.64 +85:18:15.20
342     18.265  17.213 00:24:13.46 +85:28:43.40
344     20.210  19.608 00:24:04.31 +85:30:37.00
346     19.693  18.858 00:24:56.96 +85:20:11.70
350     21.137  20.398 00:23:56.00 +85:32:42.80
352     22.071  20.417 00:26:07.01 +85:05:38.50
353     21.254  19.622 00:25:49.89 +85:09:51.80
355     14.544  13.707 00:25:03.46 +85:20:03.60
356     20.115  19.176 00:24:43.79 +85:24:10.90
357     21.940  20.155 00:25:18.14 +85:17:04.10
358     21.474  19.816 00:24:41.26 +85:24:45.30
359     19.377  18.360 00:24:32.75 +85:26:44.20
360     20.126  18.902 00:24:27.91 +85:27:49.30
363     21.441  20.208 00:24:04.06 +85:32:47.00
364     20.323  19.451 00:26:26.45 +85:02:46.40
365     16.918  16.354 00:25:50.46 +85:11:25.80
366     19.903  19.318 00:24:59.83 +85:22:31.60
367     21.873  21.233 00:24:32.01 +85:28:10.00
368     15.405  14.824 00:25:26.28 +85:17:09.80
369     21.873  20.320 00:25:01.52 +85:22:25.60
370     15.145  14.461 00:26:29.82 +85:03:04.60
371     17.186  16.417 00:24:52.67 +85:24:24.80
372     19.692  18.756 00:25:29.03 +85:16:58.10
373     20.517  19.875 00:25:31.97 +85:16:21.10
374     20.429  19.574 00:25:46.53 +85:13:20.40
375     21.808  20.916 00:24:24.62 +85:30:19.90
376     20.518  18.912 00:24:45.19 +85:26:25.30
377     21.688  20.916 00:24:59.62 +85:23:31.70
378     20.687  19.108 00:26:13.63 +85:07:35.50
379     16.165  15.402 00:26:10.55 +85:08:19.20
380     21.596  20.316 00:24:34.47 +85:28:46.30
381     17.007  16.244 00:26:06.41 +85:09:22.90
382     18.460  17.602 00:25:38.71 +85:15:35.30
383     21.854  21.025 00:25:06.18 +85:22:34.30
384     19.928  18.749 00:25:56.70 +85:11:44.50
385     22.043  20.898 00:24:25.33 +85:30:47.90
386     19.006  18.113 00:26:05.04 +85:09:53.80
387     19.394  18.427 00:25:39.21 +85:15:52.70
388     18.126  17.407 00:25:50.15 +85:13:32.40
390     21.281  19.738 00:25:13.46 +85:21:32.40
391     21.976  20.409 00:26:12.77 +85:08:43.80
392     21.467  19.901 00:24:35.58 +85:29:25.60
395     22.165  20.624 00:24:56.91 +85:25:26.70
396     22.455  20.567 00:24:55.12 +85:25:50.90
400     17.369  16.487 00:26:00.17 +85:12:04.50
401     17.850  16.993 00:25:00.06 +85:24:55.80
402     19.347  18.832 00:25:47.30 +85:15:01.60
403     20.532  19.515 00:25:32.55 +85:18:48.00
404     21.193  20.368 00:26:00.65 +85:13:06.10
405     19.994  18.907 00:25:32.23 +85:19:19.50
406     18.034  16.707 00:25:13.59 +85:23:18.70
407     20.578  19.011 00:26:53.49 +85:00:56.00
408     20.194  19.440 00:25:59.21 +85:13:42.30
412     20.337  19.458 00:26:24.56 +85:08:09.80
413     19.696  19.633 00:25:11.19 +85:24:16.10
414     18.907  17.962 00:25:58.95 +85:14:08.80
415     15.497  14.757 00:25:57.30 +85:14:35.30
416     18.675  18.008 00:26:49.49 +85:02:37.80
418     17.574  16.579 00:24:26.28 +85:33:30.70
419     18.058  17.272 00:26:49.03 +85:02:55.20
420     16.832  16.013 00:25:11.24 +85:24:42.00
421     20.166  19.613 00:25:28.69 +85:21:09.00
422     18.161  17.250 00:26:37.69 +85:05:48.10
424     16.561  15.877 00:26:40.30 +85:05:16.30
425     19.091  18.434 00:25:17.02 +85:23:45.10
426     15.429  14.906 00:26:25.98 +85:08:45.90
428     21.002  19.779 00:26:56.83 +85:01:47.10
430     17.150  16.637 00:25:22.18 +85:23:15.70
431     21.962  20.629 00:25:07.55 +85:26:20.90
434     21.169  20.524 00:26:25.01 +85:10:01.50
437     18.260  17.493 00:26:54.85 +85:03:18.00
438     19.217  17.977 00:24:51.74 +85:30:15.30
440     19.599  18.435 00:25:58.59 +85:16:19.40
441     16.962  15.947 00:25:17.10 +85:25:17.20
443     21.412  20.131 00:25:53.87 +85:17:34.60
444     21.279  20.571 00:25:45.35 +85:19:26.80
447     21.908  20.950 00:25:15.54 +85:25:49.30
448     20.625  20.052 00:25:44.48 +85:19:47.90
450     18.139  17.303 00:25:55.84 +85:17:22.50
452     17.883  17.115 00:26:38.54 +85:07:47.30
453     21.432  19.951 00:24:58.27 +85:29:36.30
462     16.089  15.539 00:25:19.97 +85:25:37.20
463     99.999  20.812 00:26:09.84 +85:15:03.80
464     21.466  20.727 00:27:05.66 +85:02:05.50
465     18.697  17.602 00:26:07.35 +85:15:39.80
466     21.602  20.788 00:25:56.52 +85:18:05.70
467     22.148  20.478 00:25:44.48 +85:20:43.70
472     21.955  20.430 00:25:44.69 +85:20:56.30
474     17.568  16.783 00:27:14.60 +85:00:29.20
475     19.001  17.607 00:26:10.44 +85:15:34.30
477     21.418  19.895 00:25:12.02 +85:28:11.30
481     99.999  20.744 00:26:37.65 +85:09:46.60
482     18.082  16.667 00:25:47.13 +85:21:04.00
484     21.292  20.517 00:26:17.95 +85:14:25.30
485     22.347  21.162 00:26:42.29 +85:08:56.50
488     21.198  19.617 00:26:46.10 +85:08:27.50
490     20.847  19.502 00:27:05.10 +85:04:03.30
497     21.176  20.013 00:27:21.45 +85:00:29.20
499     16.126  15.432 00:26:28.11 +85:13:14.20
501     17.007  16.364 00:24:48.89 +85:34:14.30
502     22.107  20.480 00:26:29.55 +85:13:03.40
508     20.890  20.045 00:25:53.95 +85:21:06.90
511     19.702  18.598 00:25:54.48 +85:21:15.70
512     21.738  20.942 00:27:12.56 +85:03:22.90
513     16.423  15.792 00:27:07.90 +85:04:32.10
514     18.531  17.588 00:24:51.36 +85:34:26.00
515     18.423  17.857 00:25:03.42 +85:32:09.50
516     19.181  18.174 00:27:22.27 +85:01:22.30
518     19.520  18.943 00:26:56.85 +85:07:35.50
519     19.082  18.148 00:25:22.90 +85:28:22.00
520     20.550  19.405 00:25:05.74 +85:31:50.70
521     18.965  17.920 00:26:29.80 +85:14:00.40
523     17.698  16.485 00:26:38.84 +85:11:59.80
525     21.988  20.493 00:27:25.25 +85:01:09.50
531     21.731  20.291 00:27:24.54 +85:01:37.70
